epoch,loss,val_loss
0,174.78317038858495,36.0025
1,32.92676920930705,33.47468865966797
2,29.220843641684823,28.399652420043946
3,25.566195321592858,28.232859237670898
4,19.13027607977187,15.340282272338866
5,14.243316270339442,16.218023330688478
6,12.294794421023099,11.130179481506348
7,10.459956055349487,9.941659217834472
8,10.09805175561376,13.070378898620605
9,9.64014814126813,9.650847248077392
10,9.39285997846454,10.087842567443847
11,9.095411102949816,8.791548828125
12,9.342144650499778,9.182814338684082
13,8.870194748085574,8.856699542999268
14,8.533012592870088,9.630394500732422
15,8.60414259951662,8.840615432739257
16,8.164495853805896,7.557485160827636
17,8.924572328166176,7.516550148010254
18,7.608729006374514,7.021899673461914
19,7.123750440469275,7.585149677276611
