epoch,loss,val_loss
0,112.67043287120579,77.45831030273438
1,45.78351877553452,34.53216261291504
2,42.369840306821075,35.555818420410155
3,39.25183617043611,34.07849374389649
4,37.81185597590202,47.45148873901367
5,37.18770831932768,31.525784759521486
6,33.87671468614956,31.487210510253906
7,33.08292779231417,31.18692272949219
8,34.18287199084885,32.085902542114255
9,32.759139509707836,30.844886505126954
10,33.09456270927392,31.515290130615234
11,32.04451389773456,31.284761962890624
12,33.09608405845753,30.548591567993164
13,32.28416831343646,29.986742980957033
14,31.78597623852716,30.24466258239746
15,32.22613297983068,31.490603912353517
16,31.279027085603722,30.323263259887696
17,30.823169929393824,32.90578855895996
18,30.723693379572623,30.23515483093262
19,29.8560230144556,28.460384704589845
20,29.945668848010076,28.75321873474121
21,30.06694762557025,30.1151953125
22,29.80710508558485,29.909297302246095
23,30.01872522658196,28.56042594909668
24,30.258599752158933,28.62847218322754
25,30.07724249466606,28.532102172851562
26,29.26167473539638,28.17270768737793
27,29.185344432517525,28.908823089599608
28,28.40225884257883,28.06069741821289
29,29.601973162296314,28.249847244262696
30,28.651854844024214,27.88914288330078
31,28.57741854939484,28.044010498046877
32,28.71413534597498,26.808148986816406
33,27.906243041402476,27.08599850463867
34,28.38534396996245,29.612722137451172
35,27.62571538657958,28.121780487060548
36,28.03976096185509,27.317743530273436
37,28.09627806806334,27.922305633544923
38,27.918385523183336,27.63581707763672
39,28.02312405719849,26.607399688720704
40,27.30324146620893,28.62749018859863
41,27.98895437452528,26.21812484741211
42,27.001184487458012,26.4477138671875
43,27.323297548524422,29.51087713623047
44,27.27335611057742,26.064469619750977
45,26.89277820310731,27.585155349731444
46,26.723127932709772,30.500424713134766
47,27.225702400023234,26.088342025756837
48,27.15919354940958,26.87180596923828
49,26.15180411407913,26.28035791015625
50,27.7645390017597,27.05986361694336
51,26.38900875883978,25.85063787841797
52,26.021012782589825,25.49709329223633
53,26.04009357212822,25.309539291381835
54,26.305089502749237,27.230604782104493
55,26.32504519218408,25.244108016967772
56,26.550222752520426,25.73769305419922
57,26.140718773367325,26.45071092224121
58,26.407049733774674,25.339547897338868
59,25.961121574807283,26.243151443481445
60,26.50790226885662,26.09314845275879
61,26.229833759547432,25.442033462524414
